State,District,Year,Crop,Annual_Rainfall_mm,Avg_Market_Price,ΣΚ (mg/kg),ΣΝ (mg/kg),ΣΡ (mg/kg),ΣΡΗ,Soil_Type,Yield_Ton_per_Ha,Profitability_Score
Andhra Pradesh,District A,2015,Wheat,1061.8,5778.21,392.8,199.66,48.08,5.97,Clay,5.13,33.37
Andhra Pradesh,District A,2015,Rice,714.3,4429.0,122.56,230.5,188.94,5.5,Silty,2.65,30.42
Andhra Pradesh,District A,2015,Maize,1287.1,3443.75,216.49,202.96,45.11,6.38,Clay,4.44,98.32
Andhra Pradesh,District A,2015,Sugarcane,1200.1,5369.73,372.12,162.62,22.39,8.33,Loamy,4.47,1.6
Andhra Pradesh,District A,2015,Cotton,846.3,2584.61,373.31,202.5,169.98,6.02,Sandy,3.33,66.25
Andhra Pradesh,District A,2016,Wheat,967.6,3840.31,318.68,96.21,194.53,7.83,Loamy,4.56,92.67
Andhra Pradesh,District A,2016,Rice,1590.9,2969.43,328.18,180.21,193.01,8.03,Peaty,3.44,82.87
Andhra Pradesh,District A,2016,Maize,1035.1,2764.21,317.08,85.23,164.4,5.72,Sandy,7.95,19.87
Andhra Pradesh,District A,2016,Sugarcane,508.3,5169.58,382.74,232.25,158.83,5.72,Loamy,2.04,86.31
Andhra Pradesh,District A,2016,Cotton,1434.9,2989.04,125.42,127.75,78.53,7.69,Clay,6.05,38.29
Andhra Pradesh,District A,2017,Wheat,1957.6,5320.11,388.69,109.0,66.09,5.62,Loamy,1.23,10.79
Andhra Pradesh,District A,2017,Rice,547.1,4363.85,225.74,177.14,183.36,6.25,Peaty,5.86,20.31
Andhra Pradesh,District A,2017,Maize,1914.3,4194.89,377.91,270.12,132.38,6.39,Peaty,8.84,80.37
Andhra Pradesh,District A,2017,Sugarcane,779.9,5516.52,315.74,251.86,181.3,6.45,Sandy,3.45,64.77
Andhra Pradesh,District A,2017,Cotton,500.8,3086.56,221.91,91.16,116.14,6.95,Sandy,2.08,33.76
Andhra Pradesh,District A,2018,Wheat,1914.4,2954.41,307.52,225.75,85.45,8.42,Silty,3.22,69.63
Andhra Pradesh,District A,2018,Rice,1568.4,2166.39,499.1,116.7,195.79,6.73,Peaty,4.11,63.44
Andhra Pradesh,District A,2018,Maize,1521.1,3889.21,279.11,188.22,126.69,5.74,Clay,3.18,80.31
Andhra Pradesh,District A,2018,Sugarcane,1205.5,5925.4,259.53,254.11,163.7,5.95,Clay,2.68,4.08
Andhra Pradesh,District A,2018,Cotton,1386.3,4549.04,106.64,178.02,60.77,7.44,Silty,9.46,39.76
Andhra Pradesh,District A,2019,Wheat,1276.6,5269.7,370.28,233.8,57.63,7.12,Loamy,3.32,66.0
Andhra Pradesh,District A,2019,Rice,1725.8,3998.4,311.86,110.46,36.76,8.19,Peaty,8.94,18.87
Andhra Pradesh,District A,2019,Maize,918.3,4651.61,438.66,264.08,92.81,8.16,Silty,1.76,16.16
Andhra Pradesh,District A,2019,Sugarcane,1847.8,4228.93,103.68,75.37,139.43,5.52,Loamy,5.37,44.84
Andhra Pradesh,District A,2019,Cotton,1991.7,2291.66,107.23,173.47,52.19,6.6,Clay,6.92,56.83
Andhra Pradesh,District A,2020,Wheat,640.5,3154.72,206.08,111.0,195.14,6.68,Clay,4.91,35.01
Andhra Pradesh,District A,2020,Rice,1467.7,4510.16,445.67,107.55,109.85,7.22,Sandy,1.39,99.46
Andhra Pradesh,District A,2020,Maize,1204.9,2758.02,453.4,236.93,191.55,6.49,Peaty,6.15,98.03
Andhra Pradesh,District A,2020,Sugarcane,613.0,2875.64,176.36,117.12,107.35,6.62,Loamy,9.43,69.6
Andhra Pradesh,District A,2020,Cotton,1355.1,1937.29,346.0,297.51,45.22,7.05,Loamy,3.9,84.87
Andhra Pradesh,District A,2021,Wheat,704.9,4690.1,321.13,124.13,95.56,6.27,Peaty,1.73,0.52
Andhra Pradesh,District A,2021,Rice,1441.8,2374.23,128.38,149.2,29.14,8.16,Silty,6.21,43.85
Andhra Pradesh,District A,2021,Maize,1508.0,2976.69,162.02,295.46,171.01,8.08,Sandy,1.34,82.26
Andhra Pradesh,District A,2021,Sugarcane,1040.3,2071.77,308.9,242.5,58.85,7.37,Silty,8.58,19.44
Andhra Pradesh,District A,2021,Cotton,1117.0,4647.8,155.34,83.19,194.52,7.64,Clay,8.16,27.08
Andhra Pradesh,District A,2022,Wheat,1158.5,1853.05,110.14,290.66,170.48,7.59,Peaty,1.52,91.52
Andhra Pradesh,District A,2022,Rice,1163.5,2579.04,137.55,95.72,188.23,7.41,Peaty,7.64,55.44
Andhra Pradesh,District A,2022,Maize,1417.6,3388.2,199.09,138.99,156.41,5.54,Silty,1.41,4.07
Andhra Pradesh,District A,2022,Sugarcane,1783.2,4666.46,289.67,74.46,108.49,6.92,Sandy,5.18,64.98
Andhra Pradesh,District A,2022,Cotton,572.1,5771.16,454.67,115.22,22.75,8.3,Sandy,5.85,68.4
Andhra Pradesh,District A,2023,Wheat,1423.8,5747.51,477.7,266.8,134.55,7.9,Silty,4.49,64.33
Andhra Pradesh,District A,2023,Rice,1187.4,3955.28,476.59,146.53,193.01,8.22,Silty,3.47,21.46
Andhra Pradesh,District A,2023,Maize,1065.9,1675.33,347.3,134.14,138.03,6.66,Loamy,1.21,81.45
Andhra Pradesh,District A,2023,Sugarcane,922.8,2031.74,378.69,207.24,177.94,7.71,Peaty,9.71,54.8
Andhra Pradesh,District A,2023,Cotton,1135.2,4058.34,330.37,232.91,42.98,6.25,Peaty,3.15,67.98
Andhra Pradesh,District A,2024,Wheat,1609.9,2572.06,251.09,183.58,109.38,6.67,Peaty,9.06,38.92
Andhra Pradesh,District A,2024,Rice,516.3,5574.22,136.51,129.83,191.01,8.35,Clay,5.44,8.33
Andhra Pradesh,District A,2024,Maize,637.6,4210.98,321.48,103.18,190.32,7.84,Peaty,9.38,97.42
Andhra Pradesh,District A,2024,Sugarcane,1993.9,1751.42,394.81,186.48,147.05,8.41,Sandy,7.85,61.82
Andhra Pradesh,District A,2024,Cotton,651.7,1878.48,380.39,68.19,167.93,7.62,Peaty,5.62,23.32
Andhra Pradesh,District B,2015,Wheat,1372.0,5384.12,452.14,109.17,183.38,7.28,Silty,4.39,8.35
Andhra Pradesh,District B,2015,Rice,1665.7,4012.82,269.69,276.59,40.02,6.98,Peaty,4.65,57.15
Andhra Pradesh,District B,2015,Maize,1611.5,4952.38,429.12,236.05,142.59,6.21,Sandy,4.37,28.57
Andhra Pradesh,District B,2015,Sugarcane,1802.9,2506.18,485.29,53.04,194.58,5.63,Peaty,1.39,92.46
Andhra Pradesh,District B,2015,Cotton,1878.7,2638.46,378.16,68.86,49.92,6.15,Sandy,6.65,58.43
Andhra Pradesh,District B,2016,Wheat,1851.7,1704.51,212.39,287.6,180.25,6.87,Silty,4.02,16.97
Andhra Pradesh,District B,2016,Rice,1470.3,3247.21,191.76,116.48,84.86,6.28,Clay,7.28,53.61
Andhra Pradesh,District B,2016,Maize,964.3,5162.08,373.89,90.65,183.97,7.97,Loamy,4.75,58.12
Andhra Pradesh,District B,2016,Sugarcane,1878.8,1872.37,450.66,187.9,49.67,6.73,Sandy,5.32,98.53
Andhra Pradesh,District B,2016,Cotton,1065.1,4873.1,257.2,257.29,122.43,5.69,Sandy,4.73,27.34
Andhra Pradesh,District B,2017,Wheat,584.6,5391.25,425.16,299.93,199.39,7.17,Peaty,7.54,75.71
